company_name,domain,linkedin_url,missing_fields,linkedin_guessed,ceo_founder,source
WiLS,wils.org,https://www.linkedin.com/company/wils,linkedin_url,True,Unknown,
Greenbyte,powerfactors.com,https://www.linkedin.com/company/powerfactors,linkedin_url,True,Unknown,
Quickcard,quickcard.com,https://www.linkedin.com/company/quickcard,linkedin_url,True,Unknown,
Reston Bible Church,restonbible.org,https://www.linkedin.com/company/restonbible,linkedin_url,True,Unknown,
Robert Half Executive Search.,roberthalf.co,https://www.linkedin.com/company/roberthalf,linkedin_url,True,Unknown,
City of Rolla,rollacity.org,https://www.linkedin.com/company/rollacity,linkedin_url,True,Unknown,
Holcomb Kreithen Plastic Surgery & MedSpa,sarasota-med.com,https://www.linkedin.com/company/sarasota-med,linkedin_url,True,Unknown,
Scott Hayes Karate,scotthayeskarate.com,https://www.linkedin.com/company/scotthayeskarate,linkedin_url,True,Unknown,
"Sigma Science, Inc.",rsienv.com,https://www.linkedin.com/company/rsienv,linkedin_url,True,Unknown,
Simple Energy,simpleenergy.com,https://www.linkedin.com/company/simpleenergy,linkedin_url,True,Unknown,
Smokin' Guns,smokingunsrange.com,https://www.linkedin.com/company/smokingunsrange,linkedin_url,True,Unknown,
SPU Unternehmens- und Personalberatung GmbH,spu-personalberatung.de,https://www.linkedin.com/company/spu-personalberatung,linkedin_url,True,Unknown,
PKE,pke.at,https://www.linkedin.com/company/pke,linkedin_url,True,Unknown,
STAT BI CORP,statbicorp.com,https://www.linkedin.com/company/statbicorp,linkedin_url,True,Unknown,
Rocket Central,rocketcentral.com,https://www.linkedin.com/company/rocketcentral,linkedin_url,True,Unknown,
The Partnership Firm,thepfirm.com,https://www.linkedin.com/company/thepfirm,linkedin_url,True,Unknown,
Clermont Partners,riveron.com,https://www.linkedin.com/company/riveron,linkedin_url,True,Unknown,
Content Raven Inc,revinova.com,https://www.linkedin.com/company/revinova,linkedin_url,True,Unknown,
OtailO,returniverse.com,https://www.linkedin.com/company/returniverse,linkedin_url,True,Unknown,
Mind Genomics Advsrs,rehavior.com,https://www.linkedin.com/company/rehavior,linkedin_url,True,Unknown,
Redstor,redstor.com,https://www.linkedin.com/company/redstor,linkedin_url,True,Unknown,
Quorum DMS,quorumdms.com,https://www.linkedin.com/company/quorumdms,linkedin_url,True,Unknown,
"Pretium Partners, LLC",pretiumpartnersllc.com,https://www.linkedin.com/company/pretiumpartnersllc,linkedin_url,True,Unknown,
Expeditionary Warfare School,usmcu.edu,https://www.linkedin.com/company/usmcu,linkedin_url,True,Unknown,
Sunview Vineyards,sunviewvineyards.com,https://www.linkedin.com/company/sunviewvineyards,linkedin_url,True,Unknown,
"CoreDial, LLC",coredial.com,https://www.linkedin.com/company/coredial,linkedin_url,True,Unknown,
ProntoForms,truecontext.com,https://www.linkedin.com/company/truecontext,linkedin_url,True,Unknown,
Configuresoft,configuresoft.com,https://www.linkedin.com/company/configuresoft,linkedin_url,True,Unknown,
Continental Title Company,ctitle.com,https://www.linkedin.com/company/ctitle,linkedin_url,True,Unknown,
Arceo,cyberresilience.com,https://www.linkedin.com/company/cyberresilience,linkedin_url,True,Unknown,
Whole Foods Durham,wholefoods.com,https://www.linkedin.com/company/wholefoods,linkedin_url,True,Unknown,
Acryl Data,datahub.com,https://www.linkedin.com/company/datahub,linkedin_url,True,Unknown,
DataLend,datalend.com,https://www.linkedin.com/company/datalend,linkedin_url,True,Unknown,
GATE Precast,wells.build,https://www.linkedin.com/company/wells,linkedin_url,True,Unknown,
Dhiwise,dhiwise.com,https://www.linkedin.com/company/dhiwise,linkedin_url,True,Unknown,
Interrodata,dijuno.ai,https://www.linkedin.com/company/dijuno,linkedin_url,True,Unknown,
DNV Software,dnvgl.com,https://www.linkedin.com/company/dnvgl,linkedin_url,True,Unknown,
Fresh Relevance,dotdigital.com,https://www.linkedin.com/company/dotdigital,linkedin_url,True,Unknown,
EG India,egsoftware.com,https://www.linkedin.com/company/egsoftware,linkedin_url,True,Unknown,
CEI Collision and Fleet Safety,elementfleet.com,https://www.linkedin.com/company/elementfleet,linkedin_url,True,Unknown,
iOLAP,elixirrdigital.com,https://www.linkedin.com/company/elixirrdigital,linkedin_url,True,Unknown,
"Certify, Inc.",emburse.com,https://www.linkedin.com/company/emburse,linkedin_url,True,Unknown,
Cortex Business Solutions,enverus.com,https://www.linkedin.com/company/enverus,linkedin_url,True,Unknown,
essensysMike,essensys.co.uk,https://www.linkedin.com/company/co,linkedin_url,True,Unknown,
InfoReliance,everforthecs.com,https://www.linkedin.com/company/everforthecs,linkedin_url,True,Unknown,
Evident,evident.com,https://www.linkedin.com/company/evident,linkedin_url,True,Unknown,
gentax.com,fastenterprises.com,https://www.linkedin.com/company/fastenterprises,linkedin_url,True,Unknown,
Faye Business Systems Group,fayedigital.com,https://www.linkedin.com/company/fayedigital,linkedin_url,True,Unknown,
Copier Fax Business Technologies,copierfaxbt.com,https://www.linkedin.com/company/copierfaxbt,linkedin_url,True,Unknown,
fiveringsconnect.com,fiveringsmarketing.com,https://www.linkedin.com/company/fiveringsmarketing,linkedin_url,True,Unknown,
Snow Software,flexera.com,https://www.linkedin.com/company/flexera,linkedin_url,True,Unknown,
Centre de services scolaire des Patriotes,csdessommets.qc.ca,https://www.linkedin.com/company/qc,linkedin_url,True,Unknown,
hogwarts.com,warnerbros.com,https://www.linkedin.com/company/warnerbros,linkedin_url,True,Unknown,
Pearl Law Group,corporateimmigrationpartners.com,https://www.linkedin.com/company/corporateimmigrationpartners,linkedin_url,True,Unknown,
Metropolitan Health Networks Inc.,convivacarecenters.com,https://www.linkedin.com/company/convivacarecenters,linkedin_url,True,Unknown,
Point It,add3.com,https://www.linkedin.com/company/add3,linkedin_url,True,Unknown,
Hearsay Media,yext.com,https://www.linkedin.com/company/yext,linkedin_url,True,Unknown,
Moopt,y.moopt.com,https://www.linkedin.com/company/moopt,linkedin_url,True,Unknown,
Travel Leaders,altour.com,https://www.linkedin.com/company/altour,linkedin_url,True,Unknown,
AME Group Ltd,ame-group.co.uk,https://www.linkedin.com/company/co,linkedin_url,True,Unknown,
"SysIQ, Inc.",astounddigital.com,https://www.linkedin.com/company/astounddigital,linkedin_url,True,Unknown,
Atharva Satellite Ground Station,atharvacoe.ac.in,https://www.linkedin.com/company/ac,linkedin_url,True,Unknown,
Atlas Professionals,atlasnextwave.com,https://www.linkedin.com/company/atlasnextwave,linkedin_url,True,Unknown,
AWISE,awise.se,https://www.linkedin.com/company/awise,linkedin_url,True,Unknown,
Beigene,beonemedicines.com,https://www.linkedin.com/company/beonemedicines,linkedin_url,True,Unknown,
sssss,ddff.com,https://www.linkedin.com/company/ddff,linkedin_url,True,Unknown,
Vidado,blueprism.com,https://www.linkedin.com/company/blueprism,linkedin_url,True,Unknown,
Techzu.com,brandbucket.com,https://www.linkedin.com/company/brandbucket,linkedin_url,True,Unknown,
Lifespan,brownhealth.org,https://www.linkedin.com/company/brownhealth,linkedin_url,True,Unknown,
Wealth Management Services,wmpcrates.com,https://www.linkedin.com/company/wmpcrates,linkedin_url,True,Unknown,
Pachama,carbon-direct.com,https://www.linkedin.com/company/carbon-direct,linkedin_url,True,Unknown,
WB Games Boston,careers.wbd.com,https://www.linkedin.com/company/wbd,linkedin_url,True,Unknown,
Crest Solutions,catalyx.ai,https://www.linkedin.com/company/catalyx,linkedin_url,True,Unknown,
Cyber Group,cginfinity.com,https://www.linkedin.com/company/cginfinity,linkedin_url,True,Unknown,
CMS Workplace,cms-fm.com,https://www.linkedin.com/company/cms-fm,linkedin_url,True,Unknown,
Cobalt IT Solutions,cobaltcpa.com,https://www.linkedin.com/company/cobaltcpa,linkedin_url,True,Unknown,
Adloop,commandersact.com,https://www.linkedin.com/company/commandersact,linkedin_url,True,Unknown,
Walgreens Boots Alliance,corporate.walgreens.com,https://www.linkedin.com/company/walgreens,linkedin_url,True,Unknown,
Tandem,forus.com,https://www.linkedin.com/company/forus,linkedin_url,True,Unknown,
Fitzmark,fitzmark.com,https://www.linkedin.com/company/fitzmark,linkedin_url,True,Unknown,
Freeappsforme,freeappsforme.com,https://www.linkedin.com/company/freeappsforme,linkedin_url,True,Unknown,
Hubilo,virtualpro.com,https://www.linkedin.com/company/virtualpro,linkedin_url,True,Unknown,
"International Management Institute, Kolkata",imi-k.edu.in,https://www.linkedin.com/company/edu,linkedin_url,True,Unknown,
Sophos ANZ,sophos.com.au,https://www.linkedin.com/company/com,linkedin_url,True,Unknown,
13 Moons,13moons.com,https://www.linkedin.com/company/13moons,linkedin_url,True,Unknown,
"All Counties Courier, Inc.",accdelivers.com,https://www.linkedin.com/company/accdelivers,linkedin_url,True,Unknown,
Adapdix,adapdix.com,https://www.linkedin.com/company/adapdix,linkedin_url,True,Unknown,
"ABS, LLC.",adv-usa.com,https://www.linkedin.com/company/adv-usa,linkedin_url,True,Unknown,
Vertigo Ventures,vertigoventures.com,https://www.linkedin.com/company/vertigoventures,linkedin_url,True,Unknown,
Invest Southwest,venturemadness.com,https://www.linkedin.com/company/venturemadness,linkedin_url,True,Unknown,
Augments,augments.art,https://www.linkedin.com/company/augments,linkedin_url,True,Unknown,
Bb Co,bb.co,https://www.linkedin.com/company/bb,linkedin_url,True,Unknown,
Agora Systems,usekojo.com,https://www.linkedin.com/company/usekojo,linkedin_url,True,Unknown,
Blue Run Public Relations,bluerunpr.com,https://www.linkedin.com/company/bluerunpr,linkedin_url,True,Unknown,
Unt Health Science Center,unthealth.edu,https://www.linkedin.com/company/unthealth,linkedin_url,True,Unknown,
Brands 2 Buyers,brands2buyers.com,https://www.linkedin.com/company/brands2buyers,linkedin_url,True,Unknown,
Coldwell Banker American Homes,c21amhomes.com,https://www.linkedin.com/company/c21amhomes,linkedin_url,True,Unknown,
Calvary Lutheran Church,calvarylc.com,https://www.linkedin.com/company/calvarylc,linkedin_url,True,Unknown,
Unext Learning,u-next.com,https://www.linkedin.com/company/u-next,linkedin_url,True,Unknown,
City College Center For The Arts,citycollegecenterforthearts.org,https://www.linkedin.com/company/citycollegecenterforthearts,linkedin_url,True,Unknown,
CMGI,cmgi.com,https://www.linkedin.com/company/cmgi,linkedin_url,True,Unknown,
Competitrack,competitrack.com,https://www.linkedin.com/company/competitrack,linkedin_url,True,Unknown,
Denver Metro Renovation Contractor,houzz.com,https://www.linkedin.com/company/houzz,linkedin_url,True,Unknown,
DesignPoint,hawkridgesys.com,https://www.linkedin.com/company/hawkridgesys,linkedin_url,True,Unknown,
Diageo Kirin Co.Ltd.,kirin.co.jp,https://www.linkedin.com/company/co,linkedin_url,True,Unknown,
Vouch,vouch-technologies.com,https://www.linkedin.com/company/vouch-technologies,linkedin_url,True,Unknown,
SoftBank Capital,group.softbank,https://www.linkedin.com/company/group,linkedin_url,True,Unknown,
"SRA Companies, Inc.",gdit.com,https://www.linkedin.com/company/gdit,linkedin_url,True,Unknown,
Claimspace Holdings Inc.,getzemble.com,https://www.linkedin.com/company/getzemble,linkedin_url,True,Unknown,
Vitera Healthcare Solutions,greenwayhealth.com,https://www.linkedin.com/company/greenwayhealth,linkedin_url,True,Unknown,
Good Day Farm,gooddayfarm.com,https://www.linkedin.com/company/gooddayfarm,linkedin_url,True,Unknown,
GoEngage,goengage.app,https://www.linkedin.com/company/goengage,linkedin_url,True,Unknown,
"Need It Now Delivers, LLC",geodis.com,https://www.linkedin.com/company/geodis,linkedin_url,True,Unknown,
Giant Screening,giantgroup.com,https://www.linkedin.com/company/giantgroup,linkedin_url,True,Unknown,
GFP Gestion,gfpfrance.com,https://www.linkedin.com/company/gfpfrance,linkedin_url,True,Unknown,
AutoLeadStar,fullpath.com,https://www.linkedin.com/company/fullpath,linkedin_url,True,Unknown,
Thek2Cfin,thek2cfin.com,https://www.linkedin.com/company/thek2cfin,"company_name,linkedin_url",True,Unknown,
Webedia Group,webedia.us,https://www.linkedin.com/company/webedia,"company_name,linkedin_url",True,Unknown,
Samskiti,samskiti.com,https://www.linkedin.com/company/samskiti,"company_name,linkedin_url",True,Unknown,
Vort-Invest,vort-invest.com,https://www.linkedin.com/company/vort-invest,"company_name,linkedin_url",True,Unknown,
Sometimesdating,sometimesdating.com,https://www.linkedin.com/company/sometimesdating,"company_name,linkedin_url",True,Unknown,
Trybetterled,trybetterled.com,https://www.linkedin.com/company/trybetterled,"company_name,linkedin_url",True,Unknown,
Nextechwipe,nextechwipe.com,https://www.linkedin.com/company/nextechwipe,"company_name,linkedin_url",True,Unknown,
Scaleadai,scaleadai.tech,https://www.linkedin.com/company/scaleadai,"company_name,linkedin_url",True,Unknown,
Tryoutboundpartnersteam,tryoutboundpartnersteam.com,https://www.linkedin.com/company/tryoutboundpartnersteam,"company_name,linkedin_url",True,Unknown,
Twillory-Reach,twillory-reach.com,https://www.linkedin.com/company/twillory-reach,"company_name,linkedin_url",True,Unknown,
Scarden,scarden.com,https://www.linkedin.com/company/scarden,"company_name,linkedin_url",True,Unknown,
Sandhillstreet,sandhillstreet.com,https://www.linkedin.com/company/sandhillstreet,"company_name,linkedin_url",True,Unknown,
Usehnorthwestadvisorshq,usehnorthwestadvisorshq.com,https://www.linkedin.com/company/usehnorthwestadvisorshq,"company_name,linkedin_url",True,Unknown,
Vivid Enterprise Solutions,vividenterprise.eu,https://www.linkedin.com/company/vividenterprise,"company_name,linkedin_url",True,Unknown,
Thefixfitmedia,thefixfitmedia.com,https://www.linkedin.com/company/thefixfitmedia,"company_name,linkedin_url",True,Unknown,
Rosslare,rosslare.pl,https://www.linkedin.com/company/rosslare,"company_name,linkedin_url",True,Unknown,
Useyfoserp,useyfoserp.com,https://www.linkedin.com/company/useyfoserp,"company_name,linkedin_url",True,Unknown,
Willowcapitalconsulting,willowcapitalconsulting.com,https://www.linkedin.com/company/willowcapitalconsulting,"company_name,linkedin_url",True,Unknown,
Russia-Cocaine,russia-cocaine.online,https://www.linkedin.com/company/russia-cocaine,"company_name,linkedin_url",True,Unknown,
Pioneers Education,pioneers-education.org,https://www.linkedin.com/company/pioneers-education,"company_name,linkedin_url",True,Unknown,
Getrmor,via.getrmor.com,https://www.linkedin.com/company/getrmor,"company_name,linkedin_url",True,Unknown,
Rush 3 Digital,rushdigital.co,https://www.linkedin.com/company/rushdigital,"company_name,linkedin_url",True,Unknown,
Virtualmarketingdirectorslabs,virtualmarketingdirectorslabs.com,https://www.linkedin.com/company/virtualmarketingdirectorslabs,"company_name,linkedin_url",True,Unknown,
Packetandpine,warm.packetandpine.com,https://www.linkedin.com/company/packetandpine,"company_name,linkedin_url",True,Unknown,
Weinstockcpapro,weinstockcpapro.com,https://www.linkedin.com/company/weinstockcpapro,"company_name,linkedin_url",True,Unknown,
Speedseo,speedseo.top,https://www.linkedin.com/company/speedseo,"company_name,linkedin_url",True,Unknown,
VisionBridge Consulting,visionbridgeconsult.com,https://www.linkedin.com/company/visionbridgeconsult,"company_name,linkedin_url",True,Unknown,
Rjmtechly,rjmtechly.biz,https://www.linkedin.com/company/rjmtechly,"company_name,linkedin_url",True,Unknown,
Safevetavirtual,safevetavirtual.online,https://www.linkedin.com/company/safevetavirtual,"company_name,linkedin_url",True,Unknown,
Netvertapro,netvertapro.com,https://www.linkedin.com/company/netvertapro,"company_name,linkedin_url",True,Unknown,
Purposefulmystoryspeakers,purposefulmystoryspeakers.com,https://www.linkedin.com/company/purposefulmystoryspeakers,"company_name,linkedin_url",True,Unknown,
Mymarinetraffic,mymarinetraffic.com,https://www.linkedin.com/company/mymarinetraffic,"company_name,linkedin_url",True,Unknown,
Asfsdf,asfsdf.com,https://www.linkedin.com/company/asfsdf,"company_name,linkedin_url",True,Unknown,
Bilingualtherapysolutions,bilingualtherapysolutions.com,https://www.linkedin.com/company/bilingualtherapysolutions,"company_name,linkedin_url",True,Unknown,
Bizatop,bizatop.com,https://www.linkedin.com/company/bizatop,"company_name,linkedin_url",True,Unknown,
Blueskycapitasolutions,blueskycapitasolutions.com,https://www.linkedin.com/company/blueskycapitasolutions,"company_name,linkedin_url",True,Unknown,
C+C Interiors,ccint.net,https://www.linkedin.com/company/ccint,"company_name,linkedin_url",True,Unknown,
Cubeocean,cubeocean.com,https://www.linkedin.com/company/cubeocean,"company_name,linkedin_url",True,Unknown,
Davidlgreeneinc,davidlgreeneinc.com,https://www.linkedin.com/company/davidlgreeneinc,"company_name,linkedin_url",True,Unknown,
Dewareff,dewareff.com,https://www.linkedin.com/company/dewareff,"company_name,linkedin_url",True,Unknown,
Easemyledger,easemyledger.com,https://www.linkedin.com/company/easemyledger,"company_name,linkedin_url",True,Unknown,
Enneathinggoes,enneathinggoes.com,https://www.linkedin.com/company/enneathinggoes,"company_name,linkedin_url",True,Unknown,
Fieldex-Sales,fieldex-sales.com,https://www.linkedin.com/company/fieldex-sales,"company_name,linkedin_url",True,Unknown,
Gciaonline,gciaonline.com,https://www.linkedin.com/company/gciaonline,"company_name,linkedin_url",True,Unknown,
Hamilton Police Service,hamiltonpolice.ca,https://www.linkedin.com/company/hamiltonpolice,"company_name,linkedin_url",True,Unknown,
HITLabNZ,hit-lab.net,https://www.linkedin.com/company/hit-lab,"company_name,linkedin_url",True,Unknown,
Ketamail,ketamail.com,https://www.linkedin.com/company/ketamail,"company_name,linkedin_url",True,Unknown,
Apifan,apifan.com,https://www.linkedin.com/company/apifan,"company_name,linkedin_url",True,Unknown,
Ahmetanriover,ahmetanriover.com,https://www.linkedin.com/company/ahmetanriover,"company_name,linkedin_url",True,Unknown,
Fifth Third Ban,nestcg.com.au,https://www.linkedin.com/company/com,"company_name,linkedin_url",True,Unknown,
Fifth Third Ban,eylawyers.com.au,https://www.linkedin.com/company/com,"company_name,linkedin_url",True,Unknown,
Nekonomikon,nekonomikon.gg,https://www.linkedin.com/company/nekonomikon,"company_name,linkedin_url",True,Unknown,
Aifworkplatform,aifworkplatform.com,https://www.linkedin.com/company/aifworkplatform,"company_name,linkedin_url",True,Unknown,
Alliancegrowthsolutions,alliancegrowthsolutions.info,https://www.linkedin.com/company/alliancegrowthsolutions,"company_name,linkedin_url",True,Unknown,
Berkmansbusinesslabs,berkmansbusinesslabs.solutions,https://www.linkedin.com/company/berkmansbusinesslabs,"company_name,linkedin_url",True,Unknown,
Buycorbanone,buycorbanone.org,https://www.linkedin.com/company/buycorbanone,"company_name,linkedin_url",True,Unknown,
Christophboeswald,christophboeswald.de,https://www.linkedin.com/company/christophboeswald,"company_name,linkedin_url",True,Unknown,
dale,daleco.net,https://www.linkedin.com/company/daleco,"company_name,linkedin_url",True,Unknown,
Lafermedesperrelles,lafermedesperrelles.fr,https://www.linkedin.com/company/lafermedesperrelles,"company_name,linkedin_url",True,Unknown,
Dealsparkhub,dealsparkhub.com,https://www.linkedin.com/company/dealsparkhub,"company_name,linkedin_url",True,Unknown,
Examplemail,examplemail.com,https://www.linkedin.com/company/examplemail,"company_name,linkedin_url",True,Unknown,
Flirtynook,flirtynook.com,https://www.linkedin.com/company/flirtynook,"company_name,linkedin_url",True,Unknown,
Fraction-Force,fraction-force.com,https://www.linkedin.com/company/fraction-force,"company_name,linkedin_url",True,Unknown,
Fulljoinapp,fulljoinapp.com,https://www.linkedin.com/company/fulljoinapp,"company_name,linkedin_url",True,Unknown,
Galaxyvg,galaxyvg.com,https://www.linkedin.com/company/galaxyvg,"company_name,linkedin_url",True,Unknown,
Getfirmograph,getfirmograph.ai,https://www.linkedin.com/company/getfirmograph,"company_name,linkedin_url",True,Unknown,
Hellojobcart,hellojobcart.com,https://www.linkedin.com/company/hellojobcart,"company_name,linkedin_url",True,Unknown,
Eafarms,eafarms.com,https://www.linkedin.com/company/eafarms,"company_name,linkedin_url",True,Unknown,
Lightofdayniagara,lightofdayniagara.com,https://www.linkedin.com/company/lightofdayniagara,"company_name,linkedin_url",True,Unknown,
Adritz,adritz.com,https://www.linkedin.com/company/adritz,"company_name,linkedin_url",True,Unknown,
Market Signals,marketsignals1.site,https://www.linkedin.com/company/marketsignals1,"company_name,linkedin_url",True,Unknown,
Tigerbutlerbusinessacquire,tigerbutlerbusinessacquire.com,https://www.linkedin.com/company/tigerbutlerbusinessacquire,"company_name,linkedin_url",True,Unknown,
