company_name,domain,linkedin_url,missing_fields,linkedin_guessed
Hired Hands,hiredhandsinc.com,https://www.linkedin.com/company/hiredhandsinc,linkedin_url,True
SHR Group,theaccessgroup.com,https://www.linkedin.com/company/theaccessgroup,linkedin_url,True
Teamsters Local 399,ht399.org,https://www.linkedin.com/company/ht399,linkedin_url,True
"i/o Software, Inc.",iosoftware.com,https://www.linkedin.com/company/iosoftware,linkedin_url,True
"InnoVantage, Inc.",ivantageapps.com,https://www.linkedin.com/company/ivantageapps,linkedin_url,True
JBA Infotech Pvt. Ltd.,jbai.com,https://www.linkedin.com/company/jbai,linkedin_url,True
Teal,tealtech.com,https://www.linkedin.com/company/tealtech,linkedin_url,True
Global Talent Track,gttconnect.com,https://www.linkedin.com/company/gttconnect,linkedin_url,True
Pompes Funèbres,pompesfunebresvaucluse.com,https://www.linkedin.com/company/pompesfunebresvaucluse,linkedin_url,True
propertyR Limited,property-r.com,https://www.linkedin.com/company/property-r,linkedin_url,True
"Purilum, LLC",purilum.com,https://www.linkedin.com/company/purilum,linkedin_url,True
HUVIAiR,huviair.com,https://www.linkedin.com/company/huviair,linkedin_url,True
Market Street Software Inc,perficient.com,https://www.linkedin.com/company/perficient,linkedin_url,True
iad France,iadfrance.fr,https://www.linkedin.com/company/iadfrance,linkedin_url,True
Induction Healthcare Group PLC,inductionhealthcare.com,https://www.linkedin.com/company/inductionhealthcare,linkedin_url,True
Gimbal Inc.,infillion.com,https://www.linkedin.com/company/infillion,linkedin_url,True
AIC,innovasolutions.com,https://www.linkedin.com/company/innovasolutions,linkedin_url,True
Intact,intact-systems.com,https://www.linkedin.com/company/intact-systems,linkedin_url,True
IntegrateHQ Inc,integratehq.com,https://www.linkedin.com/company/integratehq,linkedin_url,True
IterativeScopes,iterative.health,https://www.linkedin.com/company/iterative,linkedin_url,True
All-Care Physical Therapy Center,ivyrehab.com,https://www.linkedin.com/company/ivyrehab,linkedin_url,True
YML Innovation,ymlinnovation.com.au,https://www.linkedin.com/company/com,linkedin_url,True
Pearson Vue,pearsonvue.com,https://www.linkedin.com/company/pearsonvue,linkedin_url,True
Pathtothecsuite,pathtothecsuite.com,https://www.linkedin.com/company/pathtothecsuite,linkedin_url,True
KGPCo,kgptel.com,https://www.linkedin.com/company/kgptel,linkedin_url,True
KPMG LLP,kpmguniversityconnection.com,https://www.linkedin.com/company/kpmguniversityconnection,linkedin_url,True
Omega World Travel,owt.net,https://www.linkedin.com/company/owt,linkedin_url,True
One More Cloud,omc.io,https://www.linkedin.com/company/omc,linkedin_url,True
The Buren Insurance Group Inc,libertycompany.com,https://www.linkedin.com/company/libertycompany,linkedin_url,True
Marvel Medical Staffing,luvohealthcare.com,https://www.linkedin.com/company/luvohealthcare,linkedin_url,True
Altima Technologies,netzoom.com,https://www.linkedin.com/company/netzoom,linkedin_url,True
micro4,micro4.com,https://www.linkedin.com/company/micro4,linkedin_url,True
"Monster Worldwide, Inc.",monsterindia.com,https://www.linkedin.com/company/monsterindia,linkedin_url,True
College Nannies,jovie.com,https://www.linkedin.com/company/jovie,linkedin_url,True
Crawford&grey,crawfordandgrey.com,https://www.linkedin.com/company/crawfordandgrey,linkedin_url,True
WiLS,wils.org,https://www.linkedin.com/company/wils,linkedin_url,True
Greenbyte,powerfactors.com,https://www.linkedin.com/company/powerfactors,linkedin_url,True
Quickcard,quickcard.com,https://www.linkedin.com/company/quickcard,linkedin_url,True
Reston Bible Church,restonbible.org,https://www.linkedin.com/company/restonbible,linkedin_url,True
Robert Half Executive Search.,roberthalf.co,https://www.linkedin.com/company/roberthalf,linkedin_url,True
City of Rolla,rollacity.org,https://www.linkedin.com/company/rollacity,linkedin_url,True
Holcomb Kreithen Plastic Surgery & MedSpa,sarasota-med.com,https://www.linkedin.com/company/sarasota-med,linkedin_url,True
Scott Hayes Karate,scotthayeskarate.com,https://www.linkedin.com/company/scotthayeskarate,linkedin_url,True
"Sigma Science, Inc.",rsienv.com,https://www.linkedin.com/company/rsienv,linkedin_url,True
Simple Energy,simpleenergy.com,https://www.linkedin.com/company/simpleenergy,linkedin_url,True
Smokin' Guns,smokingunsrange.com,https://www.linkedin.com/company/smokingunsrange,linkedin_url,True
SPU Unternehmens- und Personalberatung GmbH,spu-personalberatung.de,https://www.linkedin.com/company/spu-personalberatung,linkedin_url,True
PKE,pke.at,https://www.linkedin.com/company/pke,linkedin_url,True
STAT BI CORP,statbicorp.com,https://www.linkedin.com/company/statbicorp,linkedin_url,True
Rocket Central,rocketcentral.com,https://www.linkedin.com/company/rocketcentral,linkedin_url,True
The Partnership Firm,thepfirm.com,https://www.linkedin.com/company/thepfirm,linkedin_url,True
Clermont Partners,riveron.com,https://www.linkedin.com/company/riveron,linkedin_url,True
Content Raven Inc,revinova.com,https://www.linkedin.com/company/revinova,linkedin_url,True
OtailO,returniverse.com,https://www.linkedin.com/company/returniverse,linkedin_url,True
Mind Genomics Advsrs,rehavior.com,https://www.linkedin.com/company/rehavior,linkedin_url,True
Redstor,redstor.com,https://www.linkedin.com/company/redstor,linkedin_url,True
Quorum DMS,quorumdms.com,https://www.linkedin.com/company/quorumdms,linkedin_url,True
"Pretium Partners, LLC",pretiumpartnersllc.com,https://www.linkedin.com/company/pretiumpartnersllc,linkedin_url,True
Expeditionary Warfare School,usmcu.edu,https://www.linkedin.com/company/usmcu,linkedin_url,True
Sunview Vineyards,sunviewvineyards.com,https://www.linkedin.com/company/sunviewvineyards,linkedin_url,True
"CoreDial, LLC",coredial.com,https://www.linkedin.com/company/coredial,linkedin_url,True
ProntoForms,truecontext.com,https://www.linkedin.com/company/truecontext,linkedin_url,True
Configuresoft,configuresoft.com,https://www.linkedin.com/company/configuresoft,linkedin_url,True
Continental Title Company,ctitle.com,https://www.linkedin.com/company/ctitle,linkedin_url,True
Arceo,cyberresilience.com,https://www.linkedin.com/company/cyberresilience,linkedin_url,True
Whole Foods Durham,wholefoods.com,https://www.linkedin.com/company/wholefoods,linkedin_url,True
Acryl Data,datahub.com,https://www.linkedin.com/company/datahub,linkedin_url,True
DataLend,datalend.com,https://www.linkedin.com/company/datalend,linkedin_url,True
GATE Precast,wells.build,https://www.linkedin.com/company/wells,linkedin_url,True
Dhiwise,dhiwise.com,https://www.linkedin.com/company/dhiwise,linkedin_url,True
Interrodata,dijuno.ai,https://www.linkedin.com/company/dijuno,linkedin_url,True
DNV Software,dnvgl.com,https://www.linkedin.com/company/dnvgl,linkedin_url,True
Fresh Relevance,dotdigital.com,https://www.linkedin.com/company/dotdigital,linkedin_url,True
EG India,egsoftware.com,https://www.linkedin.com/company/egsoftware,linkedin_url,True
CEI Collision and Fleet Safety,elementfleet.com,https://www.linkedin.com/company/elementfleet,linkedin_url,True
iOLAP,elixirrdigital.com,https://www.linkedin.com/company/elixirrdigital,linkedin_url,True
"Certify, Inc.",emburse.com,https://www.linkedin.com/company/emburse,linkedin_url,True
Cortex Business Solutions,enverus.com,https://www.linkedin.com/company/enverus,linkedin_url,True
essensysMike,essensys.co.uk,https://www.linkedin.com/company/co,linkedin_url,True
InfoReliance,everforthecs.com,https://www.linkedin.com/company/everforthecs,linkedin_url,True
Evident,evident.com,https://www.linkedin.com/company/evident,linkedin_url,True
gentax.com,fastenterprises.com,https://www.linkedin.com/company/fastenterprises,linkedin_url,True
Faye Business Systems Group,fayedigital.com,https://www.linkedin.com/company/fayedigital,linkedin_url,True
Copier Fax Business Technologies,copierfaxbt.com,https://www.linkedin.com/company/copierfaxbt,linkedin_url,True
fiveringsconnect.com,fiveringsmarketing.com,https://www.linkedin.com/company/fiveringsmarketing,linkedin_url,True
Snow Software,flexera.com,https://www.linkedin.com/company/flexera,linkedin_url,True
Centre de services scolaire des Patriotes,csdessommets.qc.ca,https://www.linkedin.com/company/qc,linkedin_url,True
hogwarts.com,warnerbros.com,https://www.linkedin.com/company/warnerbros,linkedin_url,True
Pearl Law Group,corporateimmigrationpartners.com,https://www.linkedin.com/company/corporateimmigrationpartners,linkedin_url,True
Metropolitan Health Networks Inc.,convivacarecenters.com,https://www.linkedin.com/company/convivacarecenters,linkedin_url,True
Point It,add3.com,https://www.linkedin.com/company/add3,linkedin_url,True
Hearsay Media,yext.com,https://www.linkedin.com/company/yext,linkedin_url,True
Moopt,y.moopt.com,https://www.linkedin.com/company/moopt,linkedin_url,True
Travel Leaders,altour.com,https://www.linkedin.com/company/altour,linkedin_url,True
AME Group Ltd,ame-group.co.uk,https://www.linkedin.com/company/co,linkedin_url,True
"SysIQ, Inc.",astounddigital.com,https://www.linkedin.com/company/astounddigital,linkedin_url,True
Atharva Satellite Ground Station,atharvacoe.ac.in,https://www.linkedin.com/company/ac,linkedin_url,True
Atlas Professionals,atlasnextwave.com,https://www.linkedin.com/company/atlasnextwave,linkedin_url,True
AWISE,awise.se,https://www.linkedin.com/company/awise,linkedin_url,True
Beigene,beonemedicines.com,https://www.linkedin.com/company/beonemedicines,linkedin_url,True
sssss,ddff.com,https://www.linkedin.com/company/ddff,linkedin_url,True
Vidado,blueprism.com,https://www.linkedin.com/company/blueprism,linkedin_url,True
Techzu.com,brandbucket.com,https://www.linkedin.com/company/brandbucket,linkedin_url,True
Lifespan,brownhealth.org,https://www.linkedin.com/company/brownhealth,linkedin_url,True
Wealth Management Services,wmpcrates.com,https://www.linkedin.com/company/wmpcrates,linkedin_url,True
Pachama,carbon-direct.com,https://www.linkedin.com/company/carbon-direct,linkedin_url,True
WB Games Boston,careers.wbd.com,https://www.linkedin.com/company/wbd,linkedin_url,True
Crest Solutions,catalyx.ai,https://www.linkedin.com/company/catalyx,linkedin_url,True
Cyber Group,cginfinity.com,https://www.linkedin.com/company/cginfinity,linkedin_url,True
CMS Workplace,cms-fm.com,https://www.linkedin.com/company/cms-fm,linkedin_url,True
Cobalt IT Solutions,cobaltcpa.com,https://www.linkedin.com/company/cobaltcpa,linkedin_url,True
Adloop,commandersact.com,https://www.linkedin.com/company/commandersact,linkedin_url,True
Walgreens Boots Alliance,corporate.walgreens.com,https://www.linkedin.com/company/walgreens,linkedin_url,True
Tandem,forus.com,https://www.linkedin.com/company/forus,linkedin_url,True
Fitzmark,fitzmark.com,https://www.linkedin.com/company/fitzmark,linkedin_url,True
Freeappsforme,freeappsforme.com,https://www.linkedin.com/company/freeappsforme,linkedin_url,True
Hubilo,virtualpro.com,https://www.linkedin.com/company/virtualpro,linkedin_url,True
"International Management Institute, Kolkata",imi-k.edu.in,https://www.linkedin.com/company/edu,linkedin_url,True
Sophos ANZ,sophos.com.au,https://www.linkedin.com/company/com,linkedin_url,True
13 Moons,13moons.com,https://www.linkedin.com/company/13moons,linkedin_url,True
"All Counties Courier, Inc.",accdelivers.com,https://www.linkedin.com/company/accdelivers,linkedin_url,True
Adapdix,adapdix.com,https://www.linkedin.com/company/adapdix,linkedin_url,True
"ABS, LLC.",adv-usa.com,https://www.linkedin.com/company/adv-usa,linkedin_url,True
Vertigo Ventures,vertigoventures.com,https://www.linkedin.com/company/vertigoventures,linkedin_url,True
Invest Southwest,venturemadness.com,https://www.linkedin.com/company/venturemadness,linkedin_url,True
Augments,augments.art,https://www.linkedin.com/company/augments,linkedin_url,True
Bb Co,bb.co,https://www.linkedin.com/company/bb,linkedin_url,True
Agora Systems,usekojo.com,https://www.linkedin.com/company/usekojo,linkedin_url,True
Blue Run Public Relations,bluerunpr.com,https://www.linkedin.com/company/bluerunpr,linkedin_url,True
Unt Health Science Center,unthealth.edu,https://www.linkedin.com/company/unthealth,linkedin_url,True
Brands 2 Buyers,brands2buyers.com,https://www.linkedin.com/company/brands2buyers,linkedin_url,True
Coldwell Banker American Homes,c21amhomes.com,https://www.linkedin.com/company/c21amhomes,linkedin_url,True
Calvary Lutheran Church,calvarylc.com,https://www.linkedin.com/company/calvarylc,linkedin_url,True
Unext Learning,u-next.com,https://www.linkedin.com/company/u-next,linkedin_url,True
City College Center For The Arts,citycollegecenterforthearts.org,https://www.linkedin.com/company/citycollegecenterforthearts,linkedin_url,True
CMGI,cmgi.com,https://www.linkedin.com/company/cmgi,linkedin_url,True
Competitrack,competitrack.com,https://www.linkedin.com/company/competitrack,linkedin_url,True
Denver Metro Renovation Contractor,houzz.com,https://www.linkedin.com/company/houzz,linkedin_url,True
DesignPoint,hawkridgesys.com,https://www.linkedin.com/company/hawkridgesys,linkedin_url,True
Diageo Kirin Co.Ltd.,kirin.co.jp,https://www.linkedin.com/company/co,linkedin_url,True
Vouch,vouch-technologies.com,https://www.linkedin.com/company/vouch-technologies,linkedin_url,True
SoftBank Capital,group.softbank,https://www.linkedin.com/company/group,linkedin_url,True
"SRA Companies, Inc.",gdit.com,https://www.linkedin.com/company/gdit,linkedin_url,True
Claimspace Holdings Inc.,getzemble.com,https://www.linkedin.com/company/getzemble,linkedin_url,True
Vitera Healthcare Solutions,greenwayhealth.com,https://www.linkedin.com/company/greenwayhealth,linkedin_url,True
Good Day Farm,gooddayfarm.com,https://www.linkedin.com/company/gooddayfarm,linkedin_url,True
GoEngage,goengage.app,https://www.linkedin.com/company/goengage,linkedin_url,True
"Need It Now Delivers, LLC",geodis.com,https://www.linkedin.com/company/geodis,linkedin_url,True
Giant Screening,giantgroup.com,https://www.linkedin.com/company/giantgroup,linkedin_url,True
GFP Gestion,gfpfrance.com,https://www.linkedin.com/company/gfpfrance,linkedin_url,True
AutoLeadStar,fullpath.com,https://www.linkedin.com/company/fullpath,linkedin_url,True
Thek2Cfin,thek2cfin.com,https://www.linkedin.com/company/thek2cfin,"company_name,linkedin_url",True
Webedia Group,webedia.us,https://www.linkedin.com/company/webedia,"company_name,linkedin_url",True
Samskiti,samskiti.com,https://www.linkedin.com/company/samskiti,"company_name,linkedin_url",True
Vort-Invest,vort-invest.com,https://www.linkedin.com/company/vort-invest,"company_name,linkedin_url",True
Sometimesdating,sometimesdating.com,https://www.linkedin.com/company/sometimesdating,"company_name,linkedin_url",True
Trybetterled,trybetterled.com,https://www.linkedin.com/company/trybetterled,"company_name,linkedin_url",True
Nextechwipe,nextechwipe.com,https://www.linkedin.com/company/nextechwipe,"company_name,linkedin_url",True
Scaleadai,scaleadai.tech,https://www.linkedin.com/company/scaleadai,"company_name,linkedin_url",True
Tryoutboundpartnersteam,tryoutboundpartnersteam.com,https://www.linkedin.com/company/tryoutboundpartnersteam,"company_name,linkedin_url",True
Twillory-Reach,twillory-reach.com,https://www.linkedin.com/company/twillory-reach,"company_name,linkedin_url",True
Scarden,scarden.com,https://www.linkedin.com/company/scarden,"company_name,linkedin_url",True
Sandhillstreet,sandhillstreet.com,https://www.linkedin.com/company/sandhillstreet,"company_name,linkedin_url",True
Usehnorthwestadvisorshq,usehnorthwestadvisorshq.com,https://www.linkedin.com/company/usehnorthwestadvisorshq,"company_name,linkedin_url",True
Vivid Enterprise Solutions,vividenterprise.eu,https://www.linkedin.com/company/vividenterprise,"company_name,linkedin_url",True
Thefixfitmedia,thefixfitmedia.com,https://www.linkedin.com/company/thefixfitmedia,"company_name,linkedin_url",True
Rosslare,rosslare.pl,https://www.linkedin.com/company/rosslare,"company_name,linkedin_url",True
Useyfoserp,useyfoserp.com,https://www.linkedin.com/company/useyfoserp,"company_name,linkedin_url",True
Willowcapitalconsulting,willowcapitalconsulting.com,https://www.linkedin.com/company/willowcapitalconsulting,"company_name,linkedin_url",True
Russia-Cocaine,russia-cocaine.online,https://www.linkedin.com/company/russia-cocaine,"company_name,linkedin_url",True
Pioneers Education,pioneers-education.org,https://www.linkedin.com/company/pioneers-education,"company_name,linkedin_url",True
Getrmor,via.getrmor.com,https://www.linkedin.com/company/getrmor,"company_name,linkedin_url",True
Rush 3 Digital,rushdigital.co,https://www.linkedin.com/company/rushdigital,"company_name,linkedin_url",True
Virtualmarketingdirectorslabs,virtualmarketingdirectorslabs.com,https://www.linkedin.com/company/virtualmarketingdirectorslabs,"company_name,linkedin_url",True
Packetandpine,warm.packetandpine.com,https://www.linkedin.com/company/packetandpine,"company_name,linkedin_url",True
Weinstockcpapro,weinstockcpapro.com,https://www.linkedin.com/company/weinstockcpapro,"company_name,linkedin_url",True
Speedseo,speedseo.top,https://www.linkedin.com/company/speedseo,"company_name,linkedin_url",True
VisionBridge Consulting,visionbridgeconsult.com,https://www.linkedin.com/company/visionbridgeconsult,"company_name,linkedin_url",True
Rjmtechly,rjmtechly.biz,https://www.linkedin.com/company/rjmtechly,"company_name,linkedin_url",True
Safevetavirtual,safevetavirtual.online,https://www.linkedin.com/company/safevetavirtual,"company_name,linkedin_url",True
Netvertapro,netvertapro.com,https://www.linkedin.com/company/netvertapro,"company_name,linkedin_url",True
Purposefulmystoryspeakers,purposefulmystoryspeakers.com,https://www.linkedin.com/company/purposefulmystoryspeakers,"company_name,linkedin_url",True
Mymarinetraffic,mymarinetraffic.com,https://www.linkedin.com/company/mymarinetraffic,"company_name,linkedin_url",True
Asfsdf,asfsdf.com,https://www.linkedin.com/company/asfsdf,"company_name,linkedin_url",True
Bilingualtherapysolutions,bilingualtherapysolutions.com,https://www.linkedin.com/company/bilingualtherapysolutions,"company_name,linkedin_url",True
Bizatop,bizatop.com,https://www.linkedin.com/company/bizatop,"company_name,linkedin_url",True
Blueskycapitasolutions,blueskycapitasolutions.com,https://www.linkedin.com/company/blueskycapitasolutions,"company_name,linkedin_url",True
C+C Interiors,ccint.net,https://www.linkedin.com/company/ccint,"company_name,linkedin_url",True
Cubeocean,cubeocean.com,https://www.linkedin.com/company/cubeocean,"company_name,linkedin_url",True
Davidlgreeneinc,davidlgreeneinc.com,https://www.linkedin.com/company/davidlgreeneinc,"company_name,linkedin_url",True
Dewareff,dewareff.com,https://www.linkedin.com/company/dewareff,"company_name,linkedin_url",True
Easemyledger,easemyledger.com,https://www.linkedin.com/company/easemyledger,"company_name,linkedin_url",True
Enneathinggoes,enneathinggoes.com,https://www.linkedin.com/company/enneathinggoes,"company_name,linkedin_url",True
Fieldex-Sales,fieldex-sales.com,https://www.linkedin.com/company/fieldex-sales,"company_name,linkedin_url",True
Gciaonline,gciaonline.com,https://www.linkedin.com/company/gciaonline,"company_name,linkedin_url",True
Hamilton Police Service,hamiltonpolice.ca,https://www.linkedin.com/company/hamiltonpolice,"company_name,linkedin_url",True
HITLabNZ,hit-lab.net,https://www.linkedin.com/company/hit-lab,"company_name,linkedin_url",True
Ketamail,ketamail.com,https://www.linkedin.com/company/ketamail,"company_name,linkedin_url",True
Apifan,apifan.com,https://www.linkedin.com/company/apifan,"company_name,linkedin_url",True
Ahmetanriover,ahmetanriover.com,https://www.linkedin.com/company/ahmetanriover,"company_name,linkedin_url",True
Fifth Third Ban,nestcg.com.au,https://www.linkedin.com/company/com,"company_name,linkedin_url",True
Fifth Third Ban,eylawyers.com.au,https://www.linkedin.com/company/com,"company_name,linkedin_url",True
Nekonomikon,nekonomikon.gg,https://www.linkedin.com/company/nekonomikon,"company_name,linkedin_url",True
Aifworkplatform,aifworkplatform.com,https://www.linkedin.com/company/aifworkplatform,"company_name,linkedin_url",True
Alliancegrowthsolutions,alliancegrowthsolutions.info,https://www.linkedin.com/company/alliancegrowthsolutions,"company_name,linkedin_url",True
Berkmansbusinesslabs,berkmansbusinesslabs.solutions,https://www.linkedin.com/company/berkmansbusinesslabs,"company_name,linkedin_url",True
Buycorbanone,buycorbanone.org,https://www.linkedin.com/company/buycorbanone,"company_name,linkedin_url",True
Christophboeswald,christophboeswald.de,https://www.linkedin.com/company/christophboeswald,"company_name,linkedin_url",True
dale,daleco.net,https://www.linkedin.com/company/daleco,"company_name,linkedin_url",True
Lafermedesperrelles,lafermedesperrelles.fr,https://www.linkedin.com/company/lafermedesperrelles,"company_name,linkedin_url",True
Dealsparkhub,dealsparkhub.com,https://www.linkedin.com/company/dealsparkhub,"company_name,linkedin_url",True
Examplemail,examplemail.com,https://www.linkedin.com/company/examplemail,"company_name,linkedin_url",True
Flirtynook,flirtynook.com,https://www.linkedin.com/company/flirtynook,"company_name,linkedin_url",True
Fraction-Force,fraction-force.com,https://www.linkedin.com/company/fraction-force,"company_name,linkedin_url",True
Fulljoinapp,fulljoinapp.com,https://www.linkedin.com/company/fulljoinapp,"company_name,linkedin_url",True
Galaxyvg,galaxyvg.com,https://www.linkedin.com/company/galaxyvg,"company_name,linkedin_url",True
Getfirmograph,getfirmograph.ai,https://www.linkedin.com/company/getfirmograph,"company_name,linkedin_url",True
Hellojobcart,hellojobcart.com,https://www.linkedin.com/company/hellojobcart,"company_name,linkedin_url",True
Eafarms,eafarms.com,https://www.linkedin.com/company/eafarms,"company_name,linkedin_url",True
Lightofdayniagara,lightofdayniagara.com,https://www.linkedin.com/company/lightofdayniagara,"company_name,linkedin_url",True
Adritz,adritz.com,https://www.linkedin.com/company/adritz,"company_name,linkedin_url",True
Market Signals,marketsignals1.site,https://www.linkedin.com/company/marketsignals1,"company_name,linkedin_url",True
Tigerbutlerbusinessacquire,tigerbutlerbusinessacquire.com,https://www.linkedin.com/company/tigerbutlerbusinessacquire,"company_name,linkedin_url",True
Toshiba,toshibabusiness.com,https://www.linkedin.com/company/toshibabusiness,"company_name,linkedin_url",True
Tryskyrocketsmail,tryskyrocketsmail.com,https://www.linkedin.com/company/tryskyrocketsmail,"company_name,linkedin_url",True
Trywebsitespeedie,trywebsitespeedie.com,https://www.linkedin.com/company/trywebsitespeedie,"company_name,linkedin_url",True
Vectorbuilderaav,vectorbuilderaav.com,https://www.linkedin.com/company/vectorbuilderaav,"company_name,linkedin_url",True
Veit-Reinhart,veit-reinhart.de,https://www.linkedin.com/company/veit-reinhart,"company_name,linkedin_url",True
Yalhethun,yalhethun.com,https://www.linkedin.com/company/yalhethun,"company_name,linkedin_url",True
Hyperkeconnect,hyperkeconnect.com,https://www.linkedin.com/company/hyperkeconnect,"company_name,linkedin_url",True
Jerrymcknight,jerrymcknight.site,https://www.linkedin.com/company/jerrymcknight,"company_name,linkedin_url",True
Keepcreditboost,keepcreditboost.com,https://www.linkedin.com/company/keepcreditboost,"company_name,linkedin_url",True
Launchpoweredbystl,launchpoweredbystl.com,https://www.linkedin.com/company/launchpoweredbystl,"company_name,linkedin_url",True
Leadsifynl,leadsifynl.com,https://www.linkedin.com/company/leadsifynl,"company_name,linkedin_url",True
Linqesoftware,linqesoftware.com,https://www.linkedin.com/company/linqesoftware,"company_name,linkedin_url",True
Lounovo,lounovo.com,https://www.linkedin.com/company/lounovo,"company_name,linkedin_url",True
Matchawardstoday,matchawardstoday.com,https://www.linkedin.com/company/matchawardstoday,"company_name,linkedin_url",True
Thesaptarshi,thesaptarshi.com,https://www.linkedin.com/company/thesaptarshi,"company_name,linkedin_url",True
Therichardshome,therichardshome.com,https://www.linkedin.com/company/therichardshome,"company_name,linkedin_url",True
TU PANDA BABY 🥵,tupanda.com,https://www.linkedin.com/company/tupanda,"company_name,linkedin_url",True
OMNITECH,omni-tech.net,https://www.linkedin.com/company/omni-tech,"company_name,linkedin_url",True
Teamrandstaddigital,teamrandstaddigital.com,https://www.linkedin.com/company/teamrandstaddigital,"company_name,linkedin_url",True
Mylocaltryst,mylocaltryst.com,https://www.linkedin.com/company/mylocaltryst,"company_name,linkedin_url",True
Nathworks,nathworks.com,https://www.linkedin.com/company/nathworks,"company_name,linkedin_url",True
Nespresso-Office,nespresso-office.us,https://www.linkedin.com/company/nespresso-office,"company_name,linkedin_url",True
NGB GROUP – NGB ELRAM INDUSTRIES,ngbgroup.in,https://www.linkedin.com/company/ngbgroup,"company_name,linkedin_url",True
Media Exchange,mediaexchangedyer.com,https://www.linkedin.com/company/mediaexchangedyer,"company_name,linkedin_url",True
Outreach-Bdr,outreach-bdr.org,https://www.linkedin.com/company/outreach-bdr,"company_name,linkedin_url",True
Phoenix Engineering and Consulting,phoenixengineeringandconsulting.com,https://www.linkedin.com/company/phoenixengineeringandconsulting,"company_name,linkedin_url",True
Miakitoformation,miakitoformation.blog,https://www.linkedin.com/company/miakitoformation,"company_name,linkedin_url",True
Playaffair,playaffair.com,https://www.linkedin.com/company/playaffair,"company_name,linkedin_url",True
recipeEU🇪🇺,recipepro.online,https://www.linkedin.com/company/recipepro,"company_name,linkedin_url",True
Runge Law Office,rungel.net,https://www.linkedin.com/company/rungel,"company_name,linkedin_url",True
