company_name,domain,linkedin_url,missing_fields
"Purilum, LLC",purilum.com,,linkedin_url
HUVIAiR,huviair.com,,linkedin_url
Market Street Software Inc,perficient.com,,linkedin_url
iad France,iadfrance.fr,,linkedin_url
Induction Healthcare Group PLC,inductionhealthcare.com,,linkedin_url
Gimbal Inc.,infillion.com,,linkedin_url
AIC,innovasolutions.com,,linkedin_url
Intact,intact-systems.com,,linkedin_url
IntegrateHQ Inc,integratehq.com,,linkedin_url
IterativeScopes,iterative.health,,linkedin_url
All-Care Physical Therapy Center,ivyrehab.com,,linkedin_url
YML Innovation,ymlinnovation.com.au,,linkedin_url
Pearson Vue,pearsonvue.com,,linkedin_url
Pathtothecsuite,pathtothecsuite.com,,linkedin_url
KGPCo,kgptel.com,,linkedin_url
KPMG LLP,kpmguniversityconnection.com,,linkedin_url
Omega World Travel,owt.net,,linkedin_url
One More Cloud,omc.io,,linkedin_url
The Buren Insurance Group Inc,libertycompany.com,,linkedin_url
Marvel Medical Staffing,luvohealthcare.com,,linkedin_url
Altima Technologies,netzoom.com,,linkedin_url
micro4,micro4.com,,linkedin_url
"Monster Worldwide, Inc.",monsterindia.com,,linkedin_url
College Nannies,jovie.com,,linkedin_url
Crawford&grey,crawfordandgrey.com,,linkedin_url
WiLS,wils.org,,linkedin_url
Greenbyte,powerfactors.com,,linkedin_url
Quickcard,quickcard.com,,linkedin_url
Reston Bible Church,restonbible.org,,linkedin_url
Robert Half Executive Search.,roberthalf.co,,linkedin_url
City of Rolla,rollacity.org,,linkedin_url
Holcomb Kreithen Plastic Surgery & MedSpa,sarasota-med.com,,linkedin_url
Scott Hayes Karate,scotthayeskarate.com,,linkedin_url
"Sigma Science, Inc.",rsienv.com,,linkedin_url
Simple Energy,simpleenergy.com,,linkedin_url
Smokin' Guns,smokingunsrange.com,,linkedin_url
SPU Unternehmens- und Personalberatung GmbH,spu-personalberatung.de,,linkedin_url
PKE,pke.at,,linkedin_url
STAT BI CORP,statbicorp.com,,linkedin_url
Rocket Central,rocketcentral.com,,linkedin_url
The Partnership Firm,thepfirm.com,,linkedin_url
Clermont Partners,riveron.com,,linkedin_url
Content Raven Inc,revinova.com,,linkedin_url
OtailO,returniverse.com,,linkedin_url
Mind Genomics Advsrs,rehavior.com,,linkedin_url
Redstor,redstor.com,,linkedin_url
Quorum DMS,quorumdms.com,,linkedin_url
"Pretium Partners, LLC",pretiumpartnersllc.com,,linkedin_url
Expeditionary Warfare School,usmcu.edu,,linkedin_url
Sunview Vineyards,sunviewvineyards.com,,linkedin_url
"CoreDial, LLC",coredial.com,,linkedin_url
ProntoForms,truecontext.com,,linkedin_url
Configuresoft,configuresoft.com,,linkedin_url
Continental Title Company,ctitle.com,,linkedin_url
Arceo,cyberresilience.com,,linkedin_url
Whole Foods Durham,wholefoods.com,,linkedin_url
Acryl Data,datahub.com,,linkedin_url
DataLend,datalend.com,,linkedin_url
GATE Precast,wells.build,,linkedin_url
Dhiwise,dhiwise.com,,linkedin_url
Interrodata,dijuno.ai,,linkedin_url
DNV Software,dnvgl.com,,linkedin_url
Fresh Relevance,dotdigital.com,,linkedin_url
EG India,egsoftware.com,,linkedin_url
CEI Collision and Fleet Safety,elementfleet.com,,linkedin_url
iOLAP,elixirrdigital.com,,linkedin_url
"Certify, Inc.",emburse.com,,linkedin_url
Cortex Business Solutions,enverus.com,,linkedin_url
essensysMike,essensys.co.uk,,linkedin_url
InfoReliance,everforthecs.com,,linkedin_url
Evident,evident.com,,linkedin_url
gentax.com,fastenterprises.com,,linkedin_url
Faye Business Systems Group,fayedigital.com,,linkedin_url
Copier Fax Business Technologies,copierfaxbt.com,,linkedin_url
fiveringsconnect.com,fiveringsmarketing.com,,linkedin_url
Snow Software,flexera.com,,linkedin_url
Centre de services scolaire des Patriotes,csdessommets.qc.ca,,linkedin_url
hogwarts.com,warnerbros.com,,linkedin_url
Pearl Law Group,corporateimmigrationpartners.com,,linkedin_url
Metropolitan Health Networks Inc.,convivacarecenters.com,,linkedin_url
Point It,add3.com,,linkedin_url
Hearsay Media,yext.com,,linkedin_url
Moopt,y.moopt.com,,linkedin_url
Travel Leaders,altour.com,,linkedin_url
AME Group Ltd,ame-group.co.uk,,linkedin_url
"SysIQ, Inc.",astounddigital.com,,linkedin_url
Atharva Satellite Ground Station,atharvacoe.ac.in,,linkedin_url
Atlas Professionals,atlasnextwave.com,,linkedin_url
AWISE,awise.se,,linkedin_url
Beigene,beonemedicines.com,,linkedin_url
sssss,ddff.com,,linkedin_url
Vidado,blueprism.com,,linkedin_url
Techzu.com,brandbucket.com,,linkedin_url
Lifespan,brownhealth.org,,linkedin_url
Wealth Management Services,wmpcrates.com,,linkedin_url
Pachama,carbon-direct.com,,linkedin_url
WB Games Boston,careers.wbd.com,,linkedin_url
Crest Solutions,catalyx.ai,,linkedin_url
Cyber Group,cginfinity.com,,linkedin_url
CMS Workplace,cms-fm.com,,linkedin_url
Cobalt IT Solutions,cobaltcpa.com,,linkedin_url
Adloop,commandersact.com,,linkedin_url
Walgreens Boots Alliance,corporate.walgreens.com,,linkedin_url
Tandem,forus.com,,linkedin_url
Fitzmark,fitzmark.com,,linkedin_url
Freeappsforme,freeappsforme.com,,linkedin_url
Hubilo,virtualpro.com,,linkedin_url
"International Management Institute, Kolkata",imi-k.edu.in,,linkedin_url
Sophos ANZ,sophos.com.au,,linkedin_url
13 Moons,13moons.com,,linkedin_url
"All Counties Courier, Inc.",accdelivers.com,,linkedin_url
Adapdix,adapdix.com,,linkedin_url
"ABS, LLC.",adv-usa.com,,linkedin_url
Vertigo Ventures,vertigoventures.com,,linkedin_url
Invest Southwest,venturemadness.com,,linkedin_url
Augments,augments.art,,linkedin_url
Bb Co,bb.co,,linkedin_url
Agora Systems,usekojo.com,,linkedin_url
Blue Run Public Relations,bluerunpr.com,,linkedin_url
Unt Health Science Center,unthealth.edu,,linkedin_url
Brands 2 Buyers,brands2buyers.com,,linkedin_url
Coldwell Banker American Homes,c21amhomes.com,,linkedin_url
Calvary Lutheran Church,calvarylc.com,,linkedin_url
Unext Learning,u-next.com,,linkedin_url
City College Center For The Arts,citycollegecenterforthearts.org,,linkedin_url
CMGI,cmgi.com,,linkedin_url
Competitrack,competitrack.com,,linkedin_url
Denver Metro Renovation Contractor,houzz.com,,linkedin_url
DesignPoint,hawkridgesys.com,,linkedin_url
Diageo Kirin Co.Ltd.,kirin.co.jp,,linkedin_url
Vouch,vouch-technologies.com,,linkedin_url
SoftBank Capital,group.softbank,,linkedin_url
"SRA Companies, Inc.",gdit.com,,linkedin_url
Claimspace Holdings Inc.,getzemble.com,,linkedin_url
Vitera Healthcare Solutions,greenwayhealth.com,,linkedin_url
Good Day Farm,gooddayfarm.com,,linkedin_url
GoEngage,goengage.app,,linkedin_url
"Need It Now Delivers, LLC",geodis.com,,linkedin_url
Giant Screening,giantgroup.com,,linkedin_url
GFP Gestion,gfpfrance.com,,linkedin_url
AutoLeadStar,fullpath.com,,linkedin_url
,thek2cfin.com,,"company_name,linkedin_url"
,webedia.us,,"company_name,linkedin_url"
,samskiti.com,,"company_name,linkedin_url"
,vort-invest.com,,"company_name,linkedin_url"
,sometimesdating.com,,"company_name,linkedin_url"
,trybetterled.com,,"company_name,linkedin_url"
,nextechwipe.com,,"company_name,linkedin_url"
,scaleadai.tech,,"company_name,linkedin_url"
,tryoutboundpartnersteam.com,,"company_name,linkedin_url"
,twillory-reach.com,,"company_name,linkedin_url"
,scarden.com,,"company_name,linkedin_url"
,sandhillstreet.com,,"company_name,linkedin_url"
,usehnorthwestadvisorshq.com,,"company_name,linkedin_url"
,vividenterprise.eu,,"company_name,linkedin_url"
,thefixfitmedia.com,,"company_name,linkedin_url"
,rosslare.pl,,"company_name,linkedin_url"
,useyfoserp.com,,"company_name,linkedin_url"
,willowcapitalconsulting.com,,"company_name,linkedin_url"
,russia-cocaine.online,,"company_name,linkedin_url"
,pioneers-education.org,,"company_name,linkedin_url"
,via.getrmor.com,,"company_name,linkedin_url"
,rushdigital.co,,"company_name,linkedin_url"
,virtualmarketingdirectorslabs.com,,"company_name,linkedin_url"
,warm.packetandpine.com,,"company_name,linkedin_url"
,weinstockcpapro.com,,"company_name,linkedin_url"
,speedseo.top,,"company_name,linkedin_url"
,visionbridgeconsult.com,,"company_name,linkedin_url"
,rjmtechly.biz,,"company_name,linkedin_url"
,safevetavirtual.online,,"company_name,linkedin_url"
,netvertapro.com,,"company_name,linkedin_url"
,purposefulmystoryspeakers.com,,"company_name,linkedin_url"
,mymarinetraffic.com,,"company_name,linkedin_url"
,asfsdf.com,,"company_name,linkedin_url"
,bilingualtherapysolutions.com,,"company_name,linkedin_url"
,bizatop.com,,"company_name,linkedin_url"
,blueskycapitasolutions.com,,"company_name,linkedin_url"
,ccint.net,,"company_name,linkedin_url"
,cubeocean.com,,"company_name,linkedin_url"
,davidlgreeneinc.com,,"company_name,linkedin_url"
,dewareff.com,,"company_name,linkedin_url"
,easemyledger.com,,"company_name,linkedin_url"
,enneathinggoes.com,,"company_name,linkedin_url"
,fieldex-sales.com,,"company_name,linkedin_url"
,gciaonline.com,,"company_name,linkedin_url"
,hamiltonpolice.ca,,"company_name,linkedin_url"
,hit-lab.net,,"company_name,linkedin_url"
,ketamail.com,,"company_name,linkedin_url"
,apifan.com,,"company_name,linkedin_url"
,ahmetanriover.com,,"company_name,linkedin_url"
,nestcg.com.au,,"company_name,linkedin_url"
,eylawyers.com.au,,"company_name,linkedin_url"
,nekonomikon.gg,,"company_name,linkedin_url"
,aifworkplatform.com,,"company_name,linkedin_url"
,alliancegrowthsolutions.info,,"company_name,linkedin_url"
,berkmansbusinesslabs.solutions,,"company_name,linkedin_url"
,buycorbanone.org,,"company_name,linkedin_url"
,christophboeswald.de,,"company_name,linkedin_url"
,daleco.net,,"company_name,linkedin_url"
,lafermedesperrelles.fr,,"company_name,linkedin_url"
,dealsparkhub.com,,"company_name,linkedin_url"
,examplemail.com,,"company_name,linkedin_url"
,flirtynook.com,,"company_name,linkedin_url"
,fraction-force.com,,"company_name,linkedin_url"
,fulljoinapp.com,,"company_name,linkedin_url"
,galaxyvg.com,,"company_name,linkedin_url"
,getfirmograph.ai,,"company_name,linkedin_url"
,hellojobcart.com,,"company_name,linkedin_url"
,eafarms.com,,"company_name,linkedin_url"
,lightofdayniagara.com,,"company_name,linkedin_url"
,adritz.com,,"company_name,linkedin_url"
,marketsignals1.site,,"company_name,linkedin_url"
,tigerbutlerbusinessacquire.com,,"company_name,linkedin_url"
,toshibabusiness.com,,"company_name,linkedin_url"
,tryskyrocketsmail.com,,"company_name,linkedin_url"
,trywebsitespeedie.com,,"company_name,linkedin_url"
,vectorbuilderaav.com,,"company_name,linkedin_url"
,veit-reinhart.de,,"company_name,linkedin_url"
,yalhethun.com,,"company_name,linkedin_url"
,hyperkeconnect.com,,"company_name,linkedin_url"
,jerrymcknight.site,,"company_name,linkedin_url"
,keepcreditboost.com,,"company_name,linkedin_url"
,launchpoweredbystl.com,,"company_name,linkedin_url"
,leadsifynl.com,,"company_name,linkedin_url"
,linqesoftware.com,,"company_name,linkedin_url"
,lounovo.com,,"company_name,linkedin_url"
,matchawardstoday.com,,"company_name,linkedin_url"
,thesaptarshi.com,,"company_name,linkedin_url"
,therichardshome.com,,"company_name,linkedin_url"
,tupanda.com,,"company_name,linkedin_url"
,omni-tech.net,,"company_name,linkedin_url"
,teamrandstaddigital.com,,"company_name,linkedin_url"
,mylocaltryst.com,,"company_name,linkedin_url"
,nathworks.com,,"company_name,linkedin_url"
,nespresso-office.us,,"company_name,linkedin_url"
,ngbgroup.in,,"company_name,linkedin_url"
,mediaexchangedyer.com,,"company_name,linkedin_url"
,outreach-bdr.org,,"company_name,linkedin_url"
,phoenixengineeringandconsulting.com,,"company_name,linkedin_url"
,miakitoformation.blog,,"company_name,linkedin_url"
,playaffair.com,,"company_name,linkedin_url"
,recipepro.online,,"company_name,linkedin_url"
,rungel.net,,"company_name,linkedin_url"
,securetechgroup.com,,"company_name,linkedin_url"
,sellstack.co,,"company_name,linkedin_url"
,symsol.com,,"company_name,linkedin_url"
,tcwlm.com,,"company_name,linkedin_url"
,prvoltai.com,,"company_name,linkedin_url"
,,,"company_name,domain,linkedin_url"
